root_rep,orbit_size,bound,lp_value,num_columns,max_len,certificate_path,status,notes,elapsed_s
"(0,0)",1,262,417879/1600,38,6,data/pebbling_product/certificates/path_orbit_0_0_max_len6.json,accepted,,0.9
"(0,1)",2,280,267871/960,36,5,data/pebbling_product/certificates/path_orbit_0_1_max_len5.json,accepted,,0.1
"(0,2)",2,197,471293/2400,39,5,data/pebbling_product/certificates/path_orbit_0_2_max_len5.json,accepted,,0.2
"(0,3)",2,178,850423/4800,40,5,data/pebbling_product/certificates/path_orbit_0_3_max_len5.json,accepted,,0.3
"(0,4)",6,238,713/3,31,5,data/pebbling_product/certificates/path_orbit_0_4_max_len5.json,accepted,,0.2
"(0,7)",2,190,151221/800,37,6,data/pebbling_product/certificates/path_orbit_0_7_max_len6.json,accepted,,2.0
"(1,1)",1,259,310031/1200,36,5,data/pebbling_product/certificates/path_orbit_1_1_max_len5.json,accepted,,0.2
"(1,2)",2,182,871813/4800,47,5,data/pebbling_product/certificates/path_orbit_1_2_max_len5.json,accepted,,0.3
"(1,3)",2,173,829157/4800,42,5,data/pebbling_product/certificates/path_orbit_1_3_max_len5.json,accepted,,0.3
"(1,4)",6,212,634/3,36,5,data/pebbling_product/certificates/path_orbit_1_4_max_len5.json,accepted,,0.3
"(1,7)",2,198,949561/4800,39,5,data/pebbling_product/certificates/path_orbit_1_7_max_len5.json,accepted,,0.3
"(2,2)",1,147,175429/1200,45,5,data/pebbling_product/certificates/path_orbit_2_2_max_len5.json,accepted,,0.5
"(2,3)",2,129,6169/48,49,5,data/pebbling_product/certificates/path_orbit_2_3_max_len5.json,accepted,,0.6
"(2,4)",6,164,786811/4800,44,5,data/pebbling_product/certificates/path_orbit_2_4_max_len5.json,accepted,,0.5
"(2,7)",2,153,733429/4800,41,5,data/pebbling_product/certificates/path_orbit_2_7_max_len5.json,accepted,,0.5
"(3,3)",1,113,677/6,51,5,data/pebbling_product/certificates/path_orbit_3_3_max_len5.json,accepted,,0.7
"(3,4)",6,151,9641/64,49,5,data/pebbling_product/certificates/path_orbit_3_4_max_len5.json,accepted,,0.6
"(3,7)",2,136,216163/1600,44,5,data/pebbling_product/certificates/path_orbit_3_7_max_len5.json,accepted,,0.7
"(4,4)",3,185,184,42,5,data/pebbling_product/certificates/path_orbit_4_4_max_len5.json,accepted,,0.5
"(4,5)",6,185,184,39,5,data/pebbling_product/certificates/path_orbit_4_5_max_len5.json,accepted,,0.5
"(4,7)",6,176,526/3,39,5,data/pebbling_product/certificates/path_orbit_4_7_max_len5.json,accepted,,0.5
"(7,7)",1,154,15309/100,42,6,data/pebbling_product/certificates/path_orbit_7_7_max_len6.json,accepted,,4.9
